Country,Country_code,Year,Sex,Age_standardised_rate,Data_flag,Source
Bulgaria,BG,2018,Females,912.21,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2018,Males,1294.7,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2018,Total,1075.93,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2019,Females,892.96,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2019,Males,1265.54,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2019,Total,1051.87,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2020,Females,934.3,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2020,Males,1379.38,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2020,Total,1119.67,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2021,Females,1013.8,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2021,Males,1491.33,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2021,Total,1210.96,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2022,Females,889.86,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2022,Males,1338.46,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2022,Total,1074.26,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2023,Females,764.51,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2023,Males,1140.2,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Bulgaria,BG,2023,Total,923.07,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Croatia,HR,2015,Females,633.98,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
